Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
200501BS00001,525680,178240,-0.191170,51.489096,1,2,1,1,04/01/2005,3,17:42,12,E09000020,3,3218,6,30,0,-1,-1,0,0,1,1,2,2,0,0,1,1,E01002849
200501BS00002,524170,181650,-0.211708,51.520075,1,3,1,1,05/01/2005,4,17:36,12,E09000020,4,450,3,30,6,2,5,0,0,5,4,1,1,0,0,1,1,E01002909
200501BS00003,524520,182240,-0.206458,51.525301,1,3,2,1,06/01/2005,5,00:15,12,E09000020,5,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002857
200501BS00004,526900,177530,-0.173862,51.482442,1,3,1,1,07/01/2005,6,10:35,12,E09000020,3,3220,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002840
200501BS00005,528060,179040,-0.156618,51.495752,1,3,1,1,10/01/2005,2,21:13,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,7,1,2,0,0,1,1,E01002863
200501BS00006,524770,181160,-0.203238,51.515540,1,3,2,1,11/01/2005,3,12:40,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,2,2,6,0,1,1,E01002832
200501BS00007,524220,180830,-0.211277,51.512695,1,3,2,1,13/01/2005,5,20:40,12,E09000020,5,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002875
200501BS00009,525890,179710,-0.187623,51.502260,1,3,1,2,14/01/2005,6,17:35,12,E09000020,3,315,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002889
200501BS00010,527350,177650,-0.167342,51.483420,1,3,2,2,15/01/2005,7,22:43,12,E09000020,3,3212,6,30,6,2,4,304,0,5,4,1,1,0,0,1,1,E01002900
200501BS00011,524550,180810,-0.206531,51.512443,1,3,2,5,15/01/2005,7,16:00,12,E09000020,4,450,6,30,3,4,5,0,0,8,1,1,1,0,0,1,1,E01002875
200501BS00012,526240,178900,-0.182872,51.494902,1,3,1,1,16/01/2005,1,00:42,12,E09000020,3,4,6,30,6,2,4,325,0,5,4,1,1,0,0,1,1,E01002835
200501BS00014,526170,177690,-0.184312,51.484044,1,3,2,1,25/01/2005,3,20:48,12,E09000020,3,3220,6,30,6,2,3,308,0,5,4,1,2,0,0,1,1,E01002912
200501BS00015,525590,178520,-0.192366,51.491632,1,3,1,1,11/01/2005,3,12:55,12,E09000020,6,0,2,30,3,4,3,3220,0,1,1,2,2,0,0,1,1,E01002849
200501BS00016,527990,178690,-0.157753,51.492622,1,3,2,1,18/01/2005,3,05:01,12,E09000020,3,3217,2,30,3,4,3,3216,0,0,4,2,2,0,0,1,1,E01002902
200501BS00017,526700,178970,-0.176224,51.495429,1,3,1,2,18/01/2005,3,11:15,12,E09000020,3,4,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002821
200501BS00018,526460,177460,-0.180220,51.481912,1,3,1,1,18/01/2005,3,10:50,12,E09000020,3,3217,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002840
200501BS00019,524680,179450,-0.205139,51.500191,1,2,2,1,20/01/2005,5,00:15,12,E09000020,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002864
200501BS00020,527000,179020,-0.171887,51.495811,1,3,2,1,21/01/2005,6,09:15,12,E09000020,3,3218,6,30,3,4,3,4,0,0,1,1,1,0,0,1,1,E01002821
200501BS00021,527810,178010,-0.160590,51.486552,1,3,2,1,21/01/2005,6,21:16,12,E09000020,4,302,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002901
200501BS00022,526790,178980,-0.174925,51.495498,1,2,1,1,08/01/2005,7,03:00,12,E09000020,3,4,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002821
200501BS00023,525940,178680,-0.187270,51.492992,1,3,1,1,24/01/2005,2,21:45,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01002839
200501BS00024,524700,180880,-0.204346,51.513039,1,3,2,1,24/01/2005,2,17:05,12,E09000020,4,415,6,30,3,4,5,0,0,0,4,1,1,0,0,1,2,E01002882
200501BS00025,526930,177490,-0.173445,51.482076,1,3,2,1,24/01/2005,2,21:30,12,E09000020,3,3220,3,30,6,2,3,3220,0,0,4,1,4,0,0,1,1,E01002840
200501BS00028,527290,178710,-0.167824,51.492960,1,3,2,1,18/01/2005,3,17:25,12,E09000020,5,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,2,E01002858
200501BS00029,527380,179280,-0.166322,51.498062,1,3,2,1,29/01/2005,7,07:34,12,E09000020,3,4,3,30,3,2,4,319,0,5,1,1,2,0,0,1,1,E01002819
200501BS00031,523930,180330,-0.215629,51.508265,1,3,1,1,19/01/2005,4,16:35,12,E09000020,5,0,6,30,3,4,6,0,0,1,4,2,2,0,0,1,1,E01001944
200501BS00032,524470,180980,-0.207623,51.513988,1,3,2,1,30/01/2005,1,20:00,12,E09000020,4,450,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002874
200501BS00033,525570,178190,-0.192771,51.488671,1,3,2,2,29/01/2005,7,13:15,12,E09000020,3,3220,6,30,6,2,3,3218,0,5,1,2,2,0,0,1,3,E01002849
200501BS70001,526240,178900,-0.182872,51.494902,1,3,2,1,01/02/2005,3,18:20,12,E09000020,3,4,3,30,6,2,5,0,0,5,4,2,2,0,0,1,1,E01002835
200501BS70002,527780,179160,-0.160606,51.496893,1,3,2,1,02/02/2005,4,07:25,12,E09000020,4,319,6,30,3,4,6,0,0,1,4,1,1,0,0,1,1,E01002863
200501BS70003,523910,181390,-0.215545,51.517796,1,2,2,2,01/02/2005,3,17:30,12,E09000020,4,412,2,30,2,4,6,0,0,0,4,2,2,0,0,1,1,E01002878
200501BS70004,524870,181880,-0.201543,51.521988,1,3,2,1,03/02/2005,5,12:30,1,E09000033,3,4207,6,30,3,4,5,0,0,1,1,9,1,0,0,1,2,E01002854
200501BS70005,527250,179170,-0.168234,51.497103,1,3,2,1,12/02/2005,7,09:55,12,E09000020,3,4,6,30,3,4,6,0,0,4,1,1,2,0,0,1,1,E01002819
200501BS70006,524170,181640,-0.211712,51.519986,1,3,2,2,03/02/2005,5,13:00,12,E09000020,4,450,6,30,6,4,5,0,0,1,1,2,2,0,0,1,1,E01002909
200501BS70007,523740,182030,-0.217769,51.523585,1,3,4,1,01/02/2005,3,13:02,12,E09000020,5,0,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002906
200501BS70008,523770,181070,-0.217674,51.514951,1,3,2,2,03/02/2005,5,22:55,12,E09000020,6,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01002880
200501BS70009,525840,177020,-0.189301,51.478096,1,3,2,1,03/02/2005,5,17:30,11,E09000013,3,308,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01001921
200501BS70010,526940,177460,-0.173312,51.481804,1,3,2,1,06/02/2005,1,15:00,12,E09000020,3,3220,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,
200501BS70011,525040,178620,-0.200249,51.492652,1,3,2,1,05/02/2005,7,21:25,12,E09000020,3,4,3,30,6,2,3,3220,0,5,4,1,1,0,0,1,1,E01002848
200501BS70012,525460,179520,-0.193882,51.500648,1,3,2,1,03/02/2005,5,12:41,12,E09000020,3,315,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01002816
200501BS70013,525410,180490,-0.194258,51.509377,1,3,1,1,04/02/2005,6,23:35,12,E09000020,3,402,6,30,6,2,3,4204,0,5,4,1,1,0,0,1,1,E01002827
200501BS70014,527570,177720,-0.164150,51.483999,1,3,2,1,07/02/2005,2,09:15,12,E09000020,4,302,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002900
200501BS70016,525200,180460,-0.197293,51.509154,1,3,1,1,12/02/2005,7,13:25,12,E09000020,3,4206,6,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,E01002884
200501BS70017,526710,178230,-0.176346,51.488776,1,3,2,1,08/02/2005,3,20:00,12,E09000020,3,308,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002910
200501BS70018,525860,179700,-0.188058,51.502177,1,3,2,1,16/02/2005,4,08:20,12,E09000020,3,315,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002889
200501BS70019,526360,177790,-0.181542,51.484900,1,3,2,1,07/02/2005,2,11:30,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002912
200501BS70020,527020,179020,-0.171599,51.495806,1,3,2,1,10/02/2005,5,18:10,12,E09000020,3,4,6,30,3,4,3,3218,0,0,4,2,2,0,0,1,1,E01002821
200501BS70021,526290,177800,-0.182546,51.485005,1,3,1,1,12/02/2005,7,11:33,12,E09000020,3,308,6,30,0,-1,-1,0,0,4,1,1,2,4,2,1,1,E01002912
200501BS70023,526020,177850,-0.186415,51.485515,1,3,2,2,13/02/2005,1,20:05,12,E09000020,3,3220,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01002896
200501BS70025,527270,178660,-0.168130,51.492515,1,3,2,1,01/02/2005,3,16:44,12,E09000020,6,0,6,30,6,4,6,0,0,0,4,2,2,0,0,1,1,E01002862
200501BS70027,525190,180500,-0.197423,51.509515,1,3,2,1,17/02/2005,5,18:00,12,E09000020,3,4206,6,30,9,4,4,415,0,1,4,2,2,0,0,1,2,E01002884
200501BS70028,527960,178790,-0.158149,51.493527,1,3,1,1,04/02/2005,6,10:15,12,E09000020,3,3216,6,30,0,-1,-1,0,0,1,1,1,1,0,0,1,1,E01002859
200501BS70029,524100,181830,-0.212653,51.521709,1,2,1,1,15/02/2005,3,18:15,12,E09000020,4,450,6,30,0,-1,-1,0,0,1,4,1,1,0,0,1,1,E01002905
200501BS70030,526360,177420,-0.181674,51.481575,1,3,2,1,16/02/2005,4,10:35,12,E09000020,3,3220,6,30,6,2,3,3217,0,0,1,1,1,0,0,1,1,E01002913
200501BS70031,524600,181280,-0.205645,51.516656,1,3,1,1,18/02/2005,6,17:36,12,E09000020,4,412,6,30,6,2,6,0,0,5,4,2,2,0,0,1,1,E01002831
200501BS70032,525710,179670,-0.190229,51.501941,1,3,1,1,15/02/2005,3,16:05,12,E09000020,6,0,6,30,3,4,3,315,0,0,1,1,1,0,0,1,1,E01002889
200501BS70033,526450,179240,-0.179727,51.497911,1,3,1,1,10/02/2005,5,13:56,12,E09000020,5,0,6,30,3,4,5,0,0,1,1,2,2,0,0,1,1,E01002892
200501BS70034,524220,181510,-0.211037,51.518806,1,3,2,1,16/02/2005,4,14:10,12,E09000020,4,450,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002878
200501BS70036,525430,179140,-0.194449,51.497240,1,3,2,1,21/02/2005,2,10:10,12,E09000020,6,0,1,30,2,4,6,0,0,0,1,1,1,0,0,1,3,E01002813
200501BS70037,524430,180180,-0.208481,51.506807,1,3,1,1,20/02/2005,1,14:50,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01002871
200501BS70038,526860,177460,-0.174463,51.481822,1,3,3,1,22/02/2005,3,14:43,12,E09000020,3,3220,3,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01002840
200501BS70039,525150,178510,-0.198704,51.491640,1,3,2,2,21/02/2005,2,17:20,12,E09000020,3,3220,6,30,3,4,6,0,0,4,4,1,1,0,0,1,1,E01002848
200501BS70040,524900,178780,-0.202208,51.494121,1,3,2,1,20/02/2005,1,12:40,12,E09000020,3,3220,2,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,E01002814
200501BS70041,527650,179680,-0.162290,51.501596,1,3,1,2,20/02/2005,1,13:55,1,E09000033,3,315,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01004689
200501BS70042,527210,178840,-0.168929,51.494146,1,3,2,2,26/02/2005,7,22:25,12,E09000020,3,308,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002821
200501BS70043,525990,178490,-0.186618,51.491273,1,3,4,1,28/02/2005,2,18:14,12,E09000020,5,0,6,30,6,4,6,0,0,0,4,1,2,0,0,1,1,E01002836
200501BS70044,526360,177420,-0.181674,51.481575,1,3,2,1,24/02/2005,5,16:30,12,E09000020,3,3217,6,30,6,2,3,3220,0,5,1,1,2,0,0,1,1,E01002913
200501BS70045,526860,178060,-0.174248,51.487215,1,3,1,1,01/03/2005,3,19:00,12,E09000020,5,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01002910
200501BS70046,524780,180400,-0.203363,51.508707,1,3,1,1,23/02/2005,4,17:13,12,E09000020,6,0,6,30,0,-1,-1,0,0,4,4,1,1,0,0,1,1,E01002883
200501BS70047,526230,178920,-0.183009,51.495084,1,3,2,1,26/02/2005,7,17:00,12,E09000020,3,4,6,30,6,4,5,0,0,5,4,2,2,0,0,1,1,E01002887
200501BS70048,527080,177550,-0.171264,51.482582,1,3,2,1,24/02/2005,5,09:15,12,E09000020,3,3212,3,30,3,2,5,0,0,0,1,3,2,0,0,1,1,E01002844
200501BS70049,526520,178020,-0.179156,51.486931,1,3,1,1,25/02/2005,6,00:11,12,E09000020,3,308,6,30,6,4,5,0,0,5,4,2,2,0,0,1,1,E01002911
200501BS70050,525330,180460,-0.195421,51.509125,1,3,3,1,23/02/2005,4,19:00,12,E09000020,3,402,2,30,3,4,3,4204,0,5,4,1,1,0,0,1,1,E01002827
200501BS70051,525430,178700,-0.194606,51.493285,1,3,1,1,26/02/2005,7,01:48,12,E09000020,3,3220,2,30,3,4,6,0,0,0,4,8,2,0,0,1,1,E01002851
200501BS70052,524240,179370,-0.211503,51.499569,1,3,1,1,23/02/2005,4,07:58,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,3,3,0,0,1,1,E01002867
200501BS70053,526840,178780,-0.174277,51.493690,1,3,1,1,25/02/2005,6,14:55,12,E09000020,4,304,6,30,7,2,5,0,0,5,1,1,2,0,0,1,1,E01002822
200501BS70054,527670,178410,-0.162461,51.490178,1,3,2,1,25/02/2005,6,08:22,12,E09000020,3,3217,6,30,3,4,6,0,0,1,1,3,2,0,0,1,1,E01002861
200501BS70055,526290,178910,-0.182149,51.494981,1,3,1,1,25/02/2005,6,04:38,12,E09000020,3,4,3,30,3,4,6,0,0,5,4,3,2,0,0,1,1,E01002835
200501BS70056,525330,181110,-0.195190,51.514966,1,3,1,1,04/03/2005,6,13:20,1,E09000033,3,4206,6,30,7,2,5,0,0,5,1,2,2,0,0,1,1,E01004653
200501BS70058,527200,178760,-0.169101,51.493429,1,3,2,1,01/03/2005,3,00:30,12,E09000020,3,308,6,30,6,2,5,0,0,0,4,1,2,0,0,1,1,E01002821
200501BS70060,526390,179620,-0.180455,51.501340,1,3,2,1,28/02/2005,2,19:30,1,E09000033,3,315,6,30,3,4,5,0,0,5,4,3,2,0,0,1,1,E01002891
200501BS70061,526060,177560,-0.185942,51.482900,1,3,2,1,01/03/2005,3,12:03,12,E09000020,3,304,6,30,8,4,6,0,0,0,1,2,2,0,0,1,1,E01002912
200501BS70062,526920,177480,-0.173592,51.481989,1,3,2,1,14/02/2005,2,23:03,12,E09000020,3,3220,6,30,6,2,3,3220,0,0,4,1,1,0,0,1,1,E01002840
200501BS70063,526800,177450,-0.175330,51.481746,1,3,2,1,02/02/2005,4,22:19,12,E09000020,3,3220,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01002840
200501BS70065,526470,177970,-0.179894,51.486493,1,3,2,1,03/03/2005,5,14:30,12,E09000020,3,308,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002912
200501BS70066,524830,179160,-0.203081,51.497552,1,2,2,1,01/03/2005,3,19:15,12,E09000020,3,315,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,2,E01002814
200501BS70067,524580,179010,-0.206734,51.496259,1,3,2,1,01/03/2005,3,18:31,12,E09000020,3,315,6,30,3,4,6,0,0,4,4,2,2,0,0,1,1,E01002814
200501BS70068,527180,179090,-0.169270,51.496399,1,3,2,4,05/03/2005,7,02:58,12,E09000020,3,308,3,30,3,2,3,4,0,5,4,1,1,0,0,1,1,E01002821
200501BS70069,526900,178470,-0.173525,51.490890,1,3,1,1,01/03/2005,3,10:40,12,E09000020,6,0,6,30,3,4,3,308,0,0,1,1,1,0,0,1,1,E01002822
200501BS70070,524590,181280,-0.205789,51.516658,1,3,1,1,08/03/2005,3,23:40,12,E09000020,4,412,6,30,6,2,6,0,0,0,4,1,1,0,0,1,1,E01002831
200501BS70072,524580,181160,-0.205975,51.515582,1,3,1,1,03/03/2005,5,21:07,12,E09000020,6,0,1,30,2,4,6,0,0,0,4,1,2,0,0,1,1,E01002833
200501BS70073,525000,180660,-0.200102,51.510995,1,2,2,1,05/03/2005,7,18:40,12,E09000020,4,415,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01002882
200501BS70074,525180,178730,-0.198194,51.493610,1,3,1,1,05/03/2005,7,16:55,12,E09000020,3,4,3,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002814
200501BS70075,526620,177560,-0.177882,51.482775,1,3,1,1,08/03/2005,3,13:36,12,E09000020,3,3217,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002840
200501BS70076,525410,180490,-0.194258,51.509377,1,3,2,1,06/03/2005,1,01:05,12,E09000020,3,402,6,30,6,2,3,4204,0,0,4,1,1,0,0,1,1,E01002827
200501BS70077,524430,181060,-0.208171,51.514716,1,3,2,1,08/03/2005,3,12:20,12,E09000020,4,450,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002874
200501BS70078,524050,179700,-0.214123,51.502577,1,3,2,1,08/03/2005,3,08:56,12,E09000020,3,3220,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,E01002869
200501BS70079,526090,177600,-0.185496,51.483253,1,3,3,1,09/03/2005,4,16:55,12,E09000020,3,3220,6,30,6,2,3,308,0,5,1,1,1,2,0,1,1,E01002912
200501BS70080,525370,180290,-0.194905,51.507588,1,3,3,2,09/03/2005,4,15:35,12,E09000020,3,4204,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002827
200501BS70082,525350,178030,-0.195995,51.487281,1,3,1,1,14/03/2005,2,17:35,12,E09000020,3,3218,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01001883